Word,Score
barfs,8559.93
hains,8550.91
floes,8550.64
colls,8549.36
tatts,8548.0
bolls,8547.88
peats,8546.95
earns,8544.8
casts,8544.0
basts,8542.52
lairs,8541.17
cabas,8541.02
hides,8540.32
pacas,8540.24
grues,8539.75
certs,8539.59
babas,8539.54
gives,8538.94
moils,8538.13
ratas,8536.65
rarks,8535.16
margs,8533.7
corms,8532.59
borms,8531.11
worts,8530.44
pauls,8530.02
dargs,8529.22
hails,8529.2
ernes,8527.88
fikes,8527.88
dudes,8523.98
comas,8523.24
earls,8523.09
cangs,8522.75
bomas,8521.76
rives,8521.63
bangs,8521.27
siens,8519.23
papas,8518.34
malls,8518.23
plues,8518.1
basis,8517.44
pands,8517.14
duces,8516.66
horns,8514.63
taigs,8512.26
twaes,8512.1
marcs,8511.86
masas,8511.55
roots,8508.76
ronts,8506.34
polls,8504.93
baurs,8504.67
sends,8504.6
serfs,8504.44
tanks,8503.11
teats,8502.53
marms,8501.46
karos,8501.15
cuzes,8500.04
fives,8499.88
pasts,8499.57
camis,8499.48
thees,8499.46
bancs,8499.43
likes,8498.85
bouts,8497.42
beans,8497.29
perts,8495.16
fanos,8495.05
dupes,8494.76
mamas,8492.11
roins,8492.09
wants,8488.36
hexes,8488.21
foots,8487.01
rhies,8486.02
fonts,8484.59
larks,8484.38
sunis,8484.2
moons,8483.9
fards,8483.02
bolos,8482.79
glees,8479.18
mixes,8478.96
pangs,8478.32
gudes,8478.02
hoars,8476.41
beals,8475.58
sills,8474.21
wains,8474.11
tapas,8473.92
yules,8473.63
arses,8472.62
lives,8470.85
roils,8470.38
foins,8470.34
peris,8470.08
galls,8467.79
mauts,8467.77
yites,8467.59
veges,8467.51
wides,8463.52
dauts,8463.29
mools,8462.19
hairs,8460.9
rudes,8460.71
calks,8460.55
tolls,8460.51
balks,8459.07
ayres,8458.58
loots,8457.98
dools,8457.71
haets,8457.06
pouts,8454.47
peans,8454.34
nalas,8454.22
torcs,8454.14
lards,8453.99
tosas,8453.83
wails,8452.4
syces,8451.94
garms,8451.02
terts,8450.74
torus,8450.3
koans,8449.87
maiks,8449.32
foils,8448.63
kants,8448.61
simas,8448.09
cotts,8446.98
botts,8445.5
molts,8442.68
semis,8442.51
cavas,8442.25
yedes,8442.23
gamas,8441.67
loins,8441.31
flees,8440.12
polos,8439.84
dolts,8438.2
fifes,8435.38
kains,8434.36
wipes,8434.3
tangs,8433.9
halts,8433.75
socks,8433.6
goons,8433.46
peals,8432.63
boabs,8431.75
vises,8430.98
neves,8430.55
sypes,8430.04
falls,8428.73
balds,8428.68
seeks,8426.89
pawas,8425.32
maids,8418.93
hikes,8418.58
sunns,8416.67
roons,8416.15
matts,8415.85
noris,8414.08
kails,8412.65
farms,8411.96
gools,8411.75
wexes,8411.41
apres,8411.05
tamis,8410.63
touts,8410.05
ludes,8409.93
rubes,8409.74
silos,8409.12
dorks,8408.56
bears,8407.28
soths,8406.48
lifes,8406.35
bouns,8404.81
cooks,8404.51
harks,8404.11
books,8403.03
luces,8402.61
perns,8402.55
potts,8402.55
dukes,8402.24
codas,8402.12
conks,8402.09
suets,8401.18
bonks,8400.61
tuxes,8400.45
lalls,8399.7
yarns,8398.36
seeds,8396.5
nonas,8395.76
cocas,8394.8
monos,8394.68
kipes,8394.55
moors,8393.89
wuses,8393.42
jarls,8390.78
hives,8390.58
fixes,8389.46
doors,8389.41
teals,8388.21
calps,8387.89
wairs,8384.1
goads,8384.0
zaris,8383.39
raiks,8381.57
takas,8381.4
gyres,8380.94
tawas,8380.9
luges,8378.97
cadis,8378.36
fauts,8378.27
hoots,8377.71
pynes,8376.0
hards,8373.72
lamas,8373.58
kibes,8372.8
fools,8372.69
nides,8372.24
talks,8371.7
kexes,8371.66
acres,8371.48
meats,8370.38
bonds,8370.22
gaids,8368.49
roads,8366.69
dadas,8366.51
danks,8366.48
loons,8365.37
pears,8364.33
balus,8364.18
macas,8363.67
nails,8361.12
ceros,8360.18
yaars,8360.14
pooks,8360.08
faiks,8359.82
calms,8359.1
lubes,8358.96
snyes,8358.64
kaons,8358.42
terns,8358.13
ponks,8357.66
balms,8357.62
laers,8354.71
seeps,8354.23
costs,8354.13
mauls,8353.45
tavas,8353.4
pacts,8351.69
loirs,8351.3
raids,8351.18
seifs,8350.85
bobas,8349.67
maims,8347.87
rotas,8346.78
darbs,8345.83
camos,8345.15
palps,8343.46
goors,8343.45
sects,8339.15
sykes,8337.52
dorps,8335.9
padis,8333.93
eorls,8333.22
walis,8331.87
coops,8331.85
tynes,8331.58
harps,8331.45
bongs,8331.4
laiks,8330.79
orles,8329.71
poods,8329.69
molls,8328.36
warks,8327.31
ponds,8327.27
sidas,8326.97
sinks,8326.94
seems,8325.44
dolls,8323.88
forks,8323.54
masts,8323.0
slats,8320.76
pelas,8320.35
geats,8319.94
tears,8319.91
halls,8319.43
surds,8317.84
touns,8317.44
septs,8317.25
dosas,8317.2
ghees,8316.87
cours,8316.28
loads,8315.91
kolas,8315.88
vants,8315.26
palms,8314.67
wives,8313.78
tonks,8313.24
lyres,8312.85
koros,8311.28
posts,8309.7
yarrs,8308.35
buras,8307.95
cents,8307.64
rauns,8307.41
tacts,8307.27
conus,8307.2
dorms,8307.11
bents,8306.16
bonus,8305.72
ranks,8303.21
cooms,8303.06
harms,8302.66
kikes,8302.03
mangs,8301.75
booms,8301.58
goels,8301.23
laids,8300.4
garbs,8299.87
wonts,8298.49
dangs,8297.27
wards,8296.92
sinds,8296.55
lotas,8296.0
cauks,8295.77
roams,8295.63
bauks,8294.29
meris,8293.51
fords,8293.15
yeves,8292.49
kalis,8292.12
beins,8291.91
glues,8291.09
gorps,8289.94
katas,8289.05
pongs,8288.45
waacs,8288.05
karks,8287.56
poops,8287.42
fauns,8285.66
hoons,8285.1
moers,8283.37
vices,8283.1
togas,8282.31
fanks,8281.46
benis,8281.08
feats,8280.88
daurs,8280.67
talcs,8280.65
vails,8279.3
sists,8278.98
doers,8278.89
means,8277.77
reais,8277.55
talus,8276.81
manus,8276.07
foams,8273.88
douts,8273.42
deans,8273.29
rands,8272.82
gasts,8272.56
ragas,8272.28
pours,8271.85
ceils,8271.68
jutes,8271.06
muxes,8268.3
vlies,8267.38
lords,8264.12
bauds,8263.9
duxes,8263.82
coeds,8263.6
pents,8263.21
gorms,8261.15
rolls,8260.61
tapis,8260.29
dolos,8258.79
sings,8257.73
meals,8256.06
warps,8254.65
halos,8254.34
lanks,8252.43
flues,8252.03
leats,8251.85
deals,8251.58
gangs,8251.31
fands,8251.07
haiks,8250.52
wifes,8249.28
peins,8248.96
pians,8246.29
sowps,8246.02
loams,8244.85
tongs,8244.03
holts,8243.88
pinas,8243.71
walls,8242.63
jefes,8242.12
colds,8240.29
laics,8239.74
vibes,8239.45
bolds,8238.81
tabis,8238.54
vexes,8238.31
penis,8238.13
jails,8237.19
narks,8236.03
tanhs,8235.26
styes,8235.05
gaurs,8234.71
simis,8234.46
sooey,8234.18
rangs,8234.0
tahas,8233.7
fasts,8233.5
amies,8232.97
goers,8232.93
sinus,8232.05
datos,8231.96
gouts,8227.46
tours,8227.43
geans,8227.33
voars,8226.51
polks,8226.25
motts,8225.98
warms,8225.86
genas,8224.75
sekts,8224.73
tyees,8223.48
caups,8223.11
forms,8222.09
lands,8222.04
derns,8221.5
boeps,8219.85
tents,8218.79
suers,8218.56
tonus,8218.35
coifs,8217.95
nanos,8217.67
sowms,8217.23
cirls,8217.22
bayts,8216.72
birls,8215.74
horks,8214.24
tooms,8214.21
