Word,Score
grape,4811.88
giant,4811.83
wound,4811.7
brave,4810.53
jerky,4809.05
abled,4808.96
heavy,4808.88
hilly,4808.33
flare,4807.2
prime,4804.72
blame,4804.39
pesky,4803.52
death,4803.15
bongo,4798.56
folio,4795.26
grace,4793.49
ninny,4793.37
arise,4793.35
dully,4791.99
ratio,4790.18
would,4789.99
liege,4789.66
tripe,4789.09
pixie,4788.31
irate,4786.74
dingy,4786.17
craze,4785.19
foggy,4784.17
chase,4781.56
heart,4781.51
abbey,4780.14
emcee,4779.98
motor,4779.66
dunce,4779.31
morph,4777.63
natal,4777.11
nurse,4776.46
tenor,4772.47
place,4771.84
wrote,4771.06
doing,4770.97
trice,4770.7
stoke,4769.09
mango,4768.91
cavil,4768.21
birth,4767.31
kneed,4762.61
bugle,4760.56
spoke,4760.53
curvy,4758.18
video,4757.58
brand,4756.99
broad,4756.83
story,4753.83
build,4753.5
rowdy,4753.46
cocoa,4753.39
venue,4749.96
conch,4748.29
renal,4747.03
gully,4746.03
spice,4745.42
triad,4745.4
frame,4744.03
roach,4743.28
mason,4742.6
shove,4740.07
valor,4737.53
bulky,4737.31
phase,4737.13
smoke,4736.04
quite,4733.0
verve,4732.83
alone,4732.59
willy,4731.53
milky,4728.45
cacti,4726.9
going,4725.01
jelly,4724.37
forgo,4721.49
elate,4720.82
modal,4720.71
staid,4720.43
phone,4719.65
vaunt,4719.01
wince,4718.85
arose,4717.41
feast,4716.98
mouth,4715.15
zonal,4714.79
piano,4713.45
trope,4713.15
rotor,4711.91
suing,4710.64
fully,4706.97
basic,4706.77
cobra,4706.53
stave,4706.44
pooch,4706.28
habit,4700.14
vault,4697.3
bribe,4696.52
mourn,4694.29
motto,4693.14
crepe,4691.48
shear,4688.25
decoy,4688.18
least,4687.95
lunge,4687.1
decry,4684.97
nasal,4684.26
caput,4678.88
egret,4678.01
delta,4677.3
jaunt,4676.9
begat,4674.78
chore,4674.07
dimly,4673.66
mafia,4669.67
learn,4668.24
reply,4668.1
briar,4663.85
creme,4662.69
close,4662.55
lurid,4658.28
quote,4657.06
tenth,4656.04
allay,4654.28
weedy,4653.82
stand,4652.9
ranch,4649.41
scope,4648.3
cedar,4647.76
bread,4646.31
built,4644.04
petal,4643.24
femme,4642.2
wheel,4631.3
vixen,4629.27
witty,4629.15
mural,4628.02
trait,4627.69
woman,4625.65
vogue,4624.93
bloke,4624.52
focal,4623.89
howdy,4622.41
jetty,4621.99
pulpy,4621.7
guard,4620.62
madam,4616.48
erase,4613.03
order,4612.69
react,4611.13
spiky,4610.83
tribe,4609.15
heath,4608.83
weird,4608.79
gripe,4606.5
glade,4605.49
shoal,4605.27
tithe,4601.69
musty,4601.24
joist,4597.74
flake,4596.82
dusty,4596.76
local,4594.86
banjo,4590.09
catch,4590.05
kitty,4589.4
batch,4588.57
teddy,4588.15
shall,4583.72
scald,4583.06
vapid,4581.45
leapt,4578.74
grime,4577.71
probe,4577.63
circa,4574.04
fibre,4573.89
comma,4566.79
labor,4566.62
shirt,4563.0
curio,4562.96
needy,4562.54
rural,4560.27
funky,4559.7
crazy,4559.55
tread,4558.94
chute,4558.08
gamut,4557.78
radio,4556.77
burst,4555.5
windy,4553.87
lobby,4551.74
stair,4551.51
taboo,4551.37
mayor,4550.88
gusty,4550.8
teeth,4547.94
mirth,4547.79
lefty,4546.62
crude,4545.66
patch,4545.62
quake,4545.38
kinky,4544.51
beach,4543.1
stead,4542.22
grave,4540.57
truly,4540.24
heron,4539.39
urine,4539.27
filmy,4537.5
pilot,4536.89
ralph,4536.39
mamma,4535.66
prize,4535.38
blaze,4535.05
rusty,4533.49
plaid,4532.91
grope,4530.56
slyly,4530.21
cello,4529.07
whale,4527.09
fetid,4525.96
ledge,4524.29
nadir,4523.57
pinto,4522.32
brain,4521.52
cyber,4521.03
spicy,4519.78
niece,4519.47
final,4517.23
elite,4515.44
flyer,4514.55
graze,4513.75
smoky,4510.4
chide,4509.24
bland,4508.33
alike,4508.14
being,4507.52
prude,4501.23
rifle,4500.67
